x;y;z;rho_b
54;48;40;0.44637
55;48;40;0.393481
56;48;40;0.306666
57;48;40;0.192699
58;48;40;0.0888563
59;48;40;0.0291644
60;48;40;0.0072136
39;49;40;0.016909
40;49;40;0.0590778
41;49;40;0.148122
42;49;40;0.264929
43;49;40;0.365843
44;49;40;0.431707
45;49;40;0.467812
46;49;40;0.485847
47;49;40;0.494569
48;49;40;0.498419
49;49;40;0.499738
50;49;40;0.499295
51;49;40;0.496851
52;49;40;0.490901
53;49;40;0.478181
54;49;40;0.452143
55;49;40;0.40232
56;49;40;0.318116
57;49;40;0.204039
58;49;40;0.0964211
59;49;40;0.0321625
60;49;40;0.00799765
39;50;40;0.0163217
40;50;40;0.0572694
41;50;40;0.144664
42;50;40;0.260767
43;50;40;0.362364
44;50;40;0.429234
45;50;40;0.466246
46;50;40;0.484871
47;50;40;0.493887
48;50;40;0.497912
49;50;40;0.499295
50;50;40;0.498829
51;50;40;0.496272
52;50;40;0.490103
53;50;40;0.47694
54;50;40;0.45018
55;50;40;0.399332
56;50;40;0.31417
57;50;40;0.200091
58;50;40;0.0937443
59;50;40;0.0310943
60;50;40;0.00771682
39;51;40;0.0137265
40;51;40;0.0490691
41;51;40;0.128394
42;51;40;0.240464
43;51;40;0.34484
44;51;40;0.41657
45;51;40;0.457905
46;51;40;0.479597
47;51;40;0.490193
48;51;40;0.495119
49;51;40;0.496851
50;51;40;0.496272
51;51;40;0.49312
52;51;40;0.485666
53;51;40;0.470299
54;51;40;0.439899
55;51;40;0.383925
56;51;40;0.294556
57;51;40;0.18109
58;51;40;0.0815209
59;51;40;0.0263211
60;51;40;0.00648076
39;52;40;0.0100547
40;52;40;0.0368526
41;52;40;0.102003
42;52;40;0.20488
43;52;40;0.311075
44;52;40;0.390884
45;52;40;0.440348
46;52;40;0.46755
47;52;40;0.481768
48;52;40;0.488479
49;52;40;0.490901
50;52;40;0.490103
51;52;40;0.485666
52;52;40;0.475733
53;52;40;0.455676
54;52;40;0.41818
55;52;40;0.353964
56;52;40;0.25835
57;52;40;0.148849
58;52;40;0.0627947
59;52;40;0.0194281
39;53;40;0.00643332
40;53;40;0.0240473
41;53;40;0.0709855
42;53;40;0.15665
43;53;40;0.259457
44;53;40;0.34778
45;53;40;0.407888
