time;PosX;PosY;v_x;v_y;Re;alpha;a
2140;299.286;88.218;-626907e-9;0.0427106;96.1701;-0.01807658217408849;19.445627744800078
2150;299.28;88.6456;-642096e-9;0.0427715;96.3071;-0.017857782785687774;19.468735717361568
2160;299.274;89.0736;-641165e-9;0.0428297;96.4382;-0.017901792495464905;19.493836621205435
2170;299.267;89.5029;-658947e-9;0.0428907;96.5755;-0.017628513860596304;19.51916335435129
2180;299.26;89.9319;-668975e-9;0.0429512;96.7118;-0.017555928069673515;19.54202981914652
2190;299.254;90.3619;-670292e-9;0.0430004;96.8224;-0.01735132262346436;19.571131379622898
2200;299.247;90.793;-675665e-9;0.0430731;96.9863;-0.017364312779687002;19.591432299971224
2210;299.24;91.2236;-686048e-9;0.0431142;97.0788;-0.01719710445424877;19.61738166839484
2220;299.233;91.6556;-695945e-9;0.043189;97.2473;-0.016984668454896726;19.637468401264535
2230;299.227;92.0882;-698215e-9;0.0432428;97.3683;-0.017008267871318213;19.663442446232303
2240;299.221;92.5201;-697063e-9;0.0432831;97.4591;-0.01691520480244997;19.686330493648498
2250;299.213;92.9541;-71067e-8;0.0433518;97.6138;-0.01671323645224002;19.707946687056992
2260;299.206;93.3876;-715053e-9;0.0433942;97.7093;-0.01674390128582036;19.733639326335727
2270;299.199;93.8228;-722926e-9;0.0434679;97.8752;-0.016560365201680798;19.753359113215744
2280;299.192;94.2577;-723747e-9;0.0435115;97.9733;-0.016505922257999475;19.77911539204832
2290;299.183;94.6933;-744545e-9;0.0435765;98.1196;-0.0162922786023491;19.798999010883016
2300;299.177;95.1297;-735616e-9;0.0436274;98.2344;-0.016313431008646354;19.821717887921785
2310;299.169;95.5649;-753959e-9;0.0436598;98.3074;-0.016177732272468645;19.845304181500023
2320;299.162;96.004;-750178e-9;0.0437427;98.4939;-0.016137506289028748;19.86427594253777
2330;299.154;96.4409;-761243e-9;0.0437848;98.5887;-0.01600297162354984;19.88689400261962
2340;299.147;96.8794;-756977e-9;0.0438437;98.7214;-0.016055642351298402;19.906506845058324
2350;299.138;97.3186;-781185e-9;0.0438961;98.8394;-0.01588221187816477;19.92950561944476
2360;299.131;97.7578;-775625e-9;0.043948;98.9563;-0.015961266442851927;19.95048592474801
2370;299.123;98.198;-785739e-9;0.043993;99.0574;-0.015864154195608014;19.973509581337808
2380;299.115;98.6376;-791193e-9;0.0440381;99.1592;-0.01580198122792887;19.99505600168567
2390;299.107;99.0799;-787507e-9;0.0441052;99.3102;-0.015886274398465666;20.013394284957442
2400;299.098;99.5201;-800666e-9;0.0441383;99.3847;-0.015721771062330164;20.03498931894279
2410;299.091;99.9634;-786962e-9;0.0442054;99.5359;-0.015804383773715288;20.055467195873504
2420;299.083;100.405;-787894e-9;0.0442472;99.6299;-0.015706924944353207;20.076244192232494
2430;299.075;100.848;-793546e-9;0.0442957;99.7392;-0.015741817492709184;20.09689385016398
2440;299.067;101.291;-800211e-9;0.0443437;99.8471;-0.015683900850879236;20.11727823036081
2450;299.059;101.735;-804382e-9;0.0443893;99.9499;-0.01576453077991245;20.139036259776297
2460;299.052;102.181;-81186e-8;0.044451;100.089;-0.01568985259655669;20.15805207104392
2470;299.042;102.625;-826189e-9;0.0444891;100.175;-0.01575420190037162;20.178402053587828
2480;299.035;103.072;-819625e-9;0.0445522;100.317;-0.015826599513556364;20.198052543467817
2490;299.025;103.516;-831912e-9;0.0445877;100.397;-0.015911826628695797;20.217502165831057
2500;299.018;103.963;-818745e-9;0.0446375;100.509;-0.015793534715937585;20.238803816391798
2510;299.009;104.41;-826531e-9;0.0446834;100.612;-0.01574728076753786;20.255609329501908
2520;299.001;104.857;-818865e-9;0.0447164;100.686;-0.01597102287993741;20.278529728941354
2530;298.994;105.305;-818828e-9;0.0447737;100.815;-0.015813966605638687;20.2948700552071
2540;298.985;105.753;-809221e-9;0.0448115;100.901;-0.016100108012084717;20.31669461566171
2550;298.977;106.202;-818111e-9;0.0448639;101.018;-0.01596815594517768;20.334558276093855
2560;298.97;106.65;-802015e-9;0.0449035;101.108;-0.01613190464857081;20.354030973315133
2570;298.961;107.1;-817789e-9;0.0449471;101.206;-0.016159973322838132;20.374055234542013
2580;298.953;107.55;-809731e-9;0.0449871;101.296;-0.016287235692876736;20.392124632305627
2590;298.944;108.001;-82018e-8;0.0450283;101.389;-0.01621294576341257;20.414569819236526
2600;298.937;108.451;-812069e-9;0.0450702;101.483;-0.01629771108935999;20.43075565373262
2610;298.928;108.902;-82014e-8;0.0451067;101.565;-0.016389376348211977;20.456220675603436
2620;298.92;109.354;-818488e-9;0.0451601;101.686;-0.01633466664824944;20.470171794841555
2630;298.912;109.806;-810854e-9;0.0451974;101.769;-0.016511248425049967;20.492391128989794
2640;298.904;110.258;-806467e-9;0.0452405;101.866;-0.016484238082570976;20.507476891603652
2650;298.896;110.711;-79822e-8;0.0452861;101.969;-0.016540877204503552;20.52889473599207
2660;298.888;111.164;-794941e-9;0.0453287;102.065;-0.016642435418899402;20.544484045281315
2670;298.881;111.618;-783893e-9;0.0453766;102.173;-0.016789555339492182;20.563595765327612
2680;298.872;112.072;-789931e-9;0.0454082;102.244;-0.01677124609196674;20.58125747532539
2690;298.865;112.527;-785345e-9;0.0454539;102.347;-0.016857049544981788;20.597032497581445
2700;298.856;112.981;-793066e-9;0.0454835;102.414;-0.01693687311984135;20.617584879210767
2710;298.848;113.437;-786695e-9;0.0455287;102.515;-0.016987497796344925;20.633125552383955
2720;298.839;113.893;-798332e-9;0.0455543;102.573;-0.016996246368026942;20.65432405774878
2730;298.832;114.349;-785253e-9;0.0455982;102.672;-0.017115739179387385;20.668553604672145
2740;298.823;114.806;-795507e-9;0.0456448;102.777;-0.017070698950902803;20.689914245008197
2750;298.816;115.262;-785461e-9;0.0456694;102.832;-0.01722195843989664;20.70486062420748
2760;298.808;115.72;-786334e-9;0.0457114;102.927;-0.017196464167136567;20.723804690244144
2770;298.8;116.176;-787857e-9;0.0457357;102.982;-0.017307948002700566;20.740330158985216
2780;298.793;116.635;-777817e-9;0.0457762;103.073;-0.0173605499816118;20.758872153177517
2790;298.785;117.091;-776829e-9;0.0457831;103.088;-0.017459496179529646;20.77799625585316
2800;298.778;117.551;-76904e-8;0.0458446;103.227;-0.0174164667006884;20.792926822149305
2810;298.77;118.009;-769293e-9;0.045863;103.268;-0.017446873634209433;20.81192111710915
2820;298.762;118.469;-771119e-9;0.0459122;103.379;-0.01749616954623673;20.828078685733217
2830;298.754;118.928;-766063e-9;0.0459358;103.432;-0.017513535658518018;20.8458804939173
2840;298.746;119.388;-769349e-9;0.0459701;103.509;-0.017533794565848637;20.862329507189834
2850;298.739;119.849;-76251e-8;0.0460101;103.599;-0.017530222630585006;20.87920280276248
2860;298.731;120.309;-75833e-8;0.0460343;103.654;-0.01760389329773669;20.896443842138407
2870;298.723;120.771;-756501e-9;0.0460855;103.769;-0.0176335533997075;20.91350386192817
2880;298.716;121.23;-755746e-9;0.0460979;103.797;-0.017615407754012966;20.930376260268687
2890;298.708;121.693;-748882e-9;0.0461397;103.891;-0.017773394387690683;20.94793390303853
2900;298.701;122.154;-746929e-9;0.0461604;103.938;-0.01770203132133681;20.963561237899448
2910;298.694;122.617;-740439e-9;0.0461978;104.022;-0.017785171465851984;20.979243433981857
2920;298.686;123.078;-747554e-9;0.0462262;104.086;-0.017785117062319843;20.995174614807166
2930;298.679;123.542;-734717e-9;0.0462596;104.161;-0.017769723549016334;21.011026718977305
2940;298.672;124.004;-733783e-9;0.0462865;104.222;-0.017789953214135075;21.026211231592427
