time;PosX;PosY;v_x;v_y;Re
4410;297.946;194.872;-9.86206e-05;0.0499233;112.411
4420;297.945;195.373;-8.94337e-05;0.0499462;112.462
4430;297.944;195.871;-8.16859e-05;0.0499584;112.49
4440;297.944;196.373;-7.23984e-05;0.0499805;112.539
4450;297.943;196.872;-6.44748e-05;0.0499864;112.553
4460;297.942;197.373;-5.53977e-05;0.0500137;112.614
4470;297.942;197.873;-4.73983e-05;0.0500189;112.626
4480;297.941;198.375;-3.81293e-05;0.0500453;112.685
4490;297.941;198.874;-3.00665e-05;0.0500504;112.697
4500;297.941;199.376;-2.0594e-05;0.0500766;112.756
4510;297.94;199.877;-1.41053e-05;0.0500845;112.774
4520;297.94;200.379;-3.14074e-06;0.0501067;112.824
4530;297.94;200.879;-3.77635e-07;0.0501146;112.841
4540;297.94;201.382;1.43525e-05;0.0501361;112.89
4550;297.94;201.883;1.71083e-05;0.0501436;112.907
4560;297.94;202.386;3.11152e-05;0.0501614;112.947
4570;297.94;202.887;3.47215e-05;0.0501723;112.971
4580;297.941;203.39;4.49354e-05;0.050191;113.013
4590;297.941;203.891;5.22384e-05;0.050201;113.036
4600;297.941;204.395;5.86359e-05;0.0502204;113.08
4610;297.942;204.897;6.96797e-05;0.0502288;113.098
4620;297.943;205.4;7.5956e-05;0.0502477;113.141
4630;297.944;205.902;8.86577e-05;0.0502576;113.163
4640;297.944;206.406;9.47125e-05;0.0502757;113.204
4650;297.946;206.909;0.000105951;0.0502834;113.221
4660;297.946;207.413;0.000110556;0.0503031;113.266
4670;297.948;207.916;0.000121809;0.0503102;113.282
4680;297.949;208.42;0.000127904;0.0503284;113.323
4690;297.95;208.923;0.000141958;0.0503391;113.347
4700;297.952;209.428;0.000146076;0.0503567;113.387
4710;297.953;209.931;0.000158101;0.0503656;113.407
4720;297.955;210.436;0.000163108;0.0503818;113.443
4730;297.957;210.94;0.000176628;0.0503925;113.467
4740;297.958;211.444;0.000176843;0.0504087;113.504
4750;297.96;211.949;0.000190058;0.0504181;113.525
4760;297.961;212.454;0.000191588;0.0504361;113.565
4770;297.964;212.958;0.000202241;0.0504463;113.588
4780;297.965;213.463;0.000207724;0.0504606;113.62
4790;297.968;213.968;0.000223053;0.0504731;113.649
4800;297.97;214.474;0.000223172;0.050485;113.675
4810;297.972;214.979;0.000235512;0.0505002;113.71
4820;297.975;215.484;0.000245695;0.0505145;113.742
4830;297.977;215.99;0.000251763;0.0505232;113.761
